Name,Province,Country,Continent,Population rank (core city),Population rank (Primary Statistical Area),Distance to closest larger Chinese Metropolitan Area (KM),Power,Population MetropolitanArea,Population MetroPower,Rolling population total,Rolling % of Population Total,GDP per capita of Province,Distance from a foreign country (KM),Country population,Percent of country's population,Score,"If part of a larger city's transportation, city name",Closest City Name,Closest City Rank,Largest in Province?,Latitude,Longitude
Banjarmasin,,Indonesia,Asia,,,,,"1,904,427",,,,,,261890000,,,,,,,-3.33333333,115
Palembang,,Indonesia,Asia,,,,,"1,342,258",,,,,,261890000,,,,,,,-3,105
Tasikmalaya,,Indonesia,Asia,,,,,"1,339,891",,,,,,261890000,,,,,,,-7.3,108
Bandar Lampung,,Indonesia,Asia,,,,,"1,251,000",,,,,,261890000,,,,,,,-5.45,105
Batam,,Indonesia,Asia,,,,,"1,153,860",,,,,,261890000,,,,,,,1.1,104
Pekanbaru,,Indonesia,Asia,,,,,"1,030,732",,,,,,261890000,,,,,,,0.5,102
Bogor,,Indonesia,Asia,,,,,"1,022,002",,,,,,261890000,,,,,,,-6.5,107
Padang,,Indonesia,Asia,,,,,"1,020,880",,,,,,261890000,,,,,,,-0.95,100
Denpasar,,Indonesia,Asia,,,,,"834,881",,,,,,261890000,,,,,,,-8.666666667,115
Balikpapan,,Indonesia,Asia,,,,,"736,806",,,,,,261890000,,,,,,,-1.25,117
Samarinda,,Indonesia,Asia,,,,,"727,500",,,,,,261890000,,,,,,,-0.4,117
Serang,,Indonesia,Asia,,,,,"643,101",,,,,,261890000,,,,,,,-6.1,106
Jambi,,Indonesia,Asia,,,,,"586,930",,,,,,261890000,,,,,,,-1.6,104
Pontianak,,Indonesia,Asia,,,,,"573,000",,,,,,261890000,,,,,,,0,109
Cimahi,,Indonesia,Asia,,,,,"566,200",,,,,,261890000,,,,,,,-6.9,108
Surakarta,,Indonesia,Asia,,,,,"499,337",,,,,,261890000,,,,,,,,
Cilegon,,Indonesia,Asia,,,,,"416,464",,,,,,261890000,,,,,,,,
Manado,,Indonesia,Asia,,,,,"405,715",,,,,,261890000,,,,,,,,
Mataram,,Indonesia,Asia,,,,,"402,843",,,,,,261890000,,,,,,,,
Yogyakarta,,Indonesia,Asia,,,,,"388,627",,,,,,261890000,,,,,,,,
Kupang,,Indonesia,Asia,,,,,"336,239",,,,,,261890000,,,,,,,,
Ambon,,Indonesia,Asia,,,,,"331,254",,,,,,261890000,,,,,,,,
Sukabumi,,Indonesia,Asia,,,,,"298,681",,,,,,261890000,,,,,,,,
Cirebon,,Indonesia,Asia,,,,,"298,224",,,,,,261890000,,,,,,,,
Palu,,Indonesia,Asia,,,,,"291,872",,,,,,261890000,,,,,,,,
Dumai,,Indonesia,Asia,,,,,"291,393",,,,,,261890000,,,,,,,,
Pekalongan,,Indonesia,Asia,,,,,"281,434",,,,,,261890000,,,,,,,,
Kediri,,Indonesia,Asia,,,,,"268,507",,,,,,261890000,,,,,,,,
Bengkulu,,Indonesia,Asia,,,,,"257,763",,,,,,261890000,,,,,,,,
Tegal,,Indonesia,Asia,,,,,"239,599",,,,,,261890000,,,,,,,,
Binjai,,Indonesia,Asia,,,,,"238,209",,,,,,261890000,,,,,,,,
Kendari,,Indonesia,Asia,,,,,"236,269",,,,,,261890000,,,,,,,,
Pematang Siantar,,Indonesia,Asia,,,,,"229,525",,,,,,261890000,,,,,,,,
Palangkaraya,,Indonesia,Asia,,,,,"220,962",,,,,,261890000,,,,,,,,
Probolinggo,,Indonesia,Asia,,,,,"217,062",,,,,,261890000,,,,,,,,
Jayapura,,Indonesia,Asia,,,,,"200,524",,,,,,261890000,,,,,,,,
Banjarbaru,,Indonesia,Asia,,,,,"199,627",,,,,,261890000,,,,,,,,
Tarakan,,Indonesia,Asia,,,,,"193,370",,,,,,261890000,,,,,,,,
Batu,,Indonesia,Asia,,,,,"190,184",,,,,,261890000,,,,,,,,
Singkawang,,Indonesia,Asia,,,,,"186,462",,,,,,261890000,,,,,,,,
Pasuruan,,Indonesia,Asia,,,,,"186,262",,,,,,261890000,,,,,,,,
Ternate,,Indonesia,Asia,,,,,"185,705",,,,,,261890000,,,,,,,,
Kota Sorong,,Indonesia,Asia,,,,,"184,239",,,,,,261890000,,,,,,,,
Padang Sidempuan,,Indonesia,Asia,,,,,"178,148",,,,,,261890000,,,,,,,,
Banjar,,Indonesia,Asia,,,,,"175,910",,,,,,261890000,,,,,,,,
Lubuklinggau,,Indonesia,Asia,,,,,"174,472",,,,,,261890000,,,,,,,,
Banda Aceh,,Indonesia,Asia,,,,,"174,433",,,,,,261890000,,,,,,,,
Bitung,,Indonesia,Asia,,,,,"173,837",,,,,,261890000,,,,,,,,
Madiun,,Indonesia,Asia,,,,,"170,964",,,,,,261890000,,,,,,,,
Salatiga,,Indonesia,Asia,,,,,"170,332",,,,,,261890000,,,,,,,,
Tanjung Pinang,,Indonesia,Asia,,,,,"167,958",,,,,,261890000,,,,,,,,
Cianjur,,Indonesia,Asia,,,,,"165,420",,,,,,261890000,,,,,,,,
Gorontalo,,Indonesia,Asia,,,,,"153,036",,,,,,261890000,,,,,,,,
Lhokseumawe,,Indonesia,Asia,,,,,"152,895",,,,,,261890000,,,,,,,,
Tanjung Balai,,Indonesia,Asia,,,,,"152,272",,,,,,261890000,,,,,,,,
Pangkal Pinang,,Indonesia,Asia,,,,,"145,945",,,,,,261890000,,,,,,,,
Bontang,,Indonesia,Asia,,,,,"143,683",,,,,,261890000,,,,,,,,
Bima,,Indonesia,Asia,,,,,"142,579",,,,,,261890000,,,,,,,,
Manokwari,,Indonesia,Asia,,,,,"136,302",,,,,,261890000,,,,,,,,
Tebing Tinggi,,Indonesia,Asia,,,,,"134,548",,,,,,261890000,,,,,,,,
Langsa,,Indonesia,Asia,,,,,"133,600",,,,,,261890000,,,,,,,,
Blitar,,Indonesia,Asia,,,,,"132,018",,,,,,261890000,,,,,,,,
Palopo,,Indonesia,Asia,,,,,"129,273",,,,,,261890000,,,,,,,,
Prabumulih,,Indonesia,Asia,,,,,"129,201",,,,,,261890000,,,,,,,,
Metro,,Indonesia,Asia,,,,,"127,569",,,,,,261890000,,,,,,,,
Gunungsitoli,,Indonesia,Asia,,,,,"125,566",,,,,,261890000,,,,,,,,
Payakumbuh,,Indonesia,Asia,,,,,"122,896",,,,,,261890000,,,,,,,,
Mojokerto,,Indonesia,Asia,,,,,"120,196",,,,,,261890000,,,,,,,,
Bau-Bau,,Indonesia,Asia,,,,,"118,998",,,,,,261890000,,,,,,,,
Magelang,,Indonesia,Asia,,,,,"118,227",,,,,,261890000,,,,,,,,
Bukittinggi,,Indonesia,Asia,,,,,"117,097",,,,,,261890000,,,,,,,,
Pagar Alam,,Indonesia,Asia,,,,,"114,609",,,,,,261890000,,,,,,,,
Pare-Pare,,Indonesia,Asia,,,,,"112,625",,,,,,261890000,,,,,,,,
Kotamobagu,,Indonesia,Asia,,,,,"107,459",,,,,,261890000,,,,,,,,
Sibolga,,Indonesia,Asia,,,,,"90,489",,,,,,261890000,,,,,,,,
Tidore,,Indonesia,Asia,,,,,"90,055",,,,,,261890000,,,,,,,,
Pariaman,,Indonesia,Asia,,,,,"83,151",,,,,,261890000,,,,,,,,
Sungai Penuh,,Indonesia,Asia,,,,,"82,619",,,,,,261890000,,,,,,,,
Tomohon,,Indonesia,Asia,,,,,"80,649",,,,,,261890000,,,,,,,,
Atambua,,Indonesia,Asia,,,,,"74,903",,,,,,261890000,,,,,,,,
Tenggarong,,Indonesia,Asia,,,,,"72,458",,,,,,261890000,,,,,,,,
Merauke,,Indonesia,Asia,,,,,"71,838",,,,,,261890000,,,,,,,,
Solok,,Indonesia,Asia,,,,,"62,483",,,,,,261890000,,,,,,,,
Sawah Lunto,,Indonesia,Asia,,,,,"59,821",,,,,,261890000,,,,,,,,
Tual,,Indonesia,Asia,,,,,"58,082",,,,,,261890000,,,,,,,,
Padang Panjang,,Indonesia,Asia,,,,,"49,451",,,,,,261890000,,,,,,,,
Sabang,,Indonesia,Asia,,,,,"28,454",,,,,,261890000,,,,,,,,
Tehran,Tehran,Iran,Asia,,,,,"8,154,051",,"1,256,748,154",30.18%,,,81028500,,,,,,,35.7,51.4
Mashhad,Razavi Khorasan,Iran,Asia,,,,,"2,749,374",,"1,264,902,205",30.38%,,,81028500,,,,,,,36.3,59.6
Isfahan,Isfahan,Iran,Asia,,,,,"1,756,126",,"1,267,651,579",30.44%,,,81028500,,,,,,,32.6,51.65
Karaj,Alborz,Iran,Asia,,,,,"1,614,626",,"1,269,407,705",30.48%,,,81028500,,,,,,,35.9,51
Tabriz,East Azerbaijan,Iran,Asia,,,,,"1,484,988",,"1,271,022,331",30.52%,,,81028500,,,,,,,38.06,46.3
Shiraz,Fars,Iran,Asia,,,,,"1,460,665",,"1,272,507,319",30.56%,,,81028500,,,,,,,29.6,52.55
Ahvaz,Khuzestan,Iran,Asia,,,,,"1,112,021",,"1,273,967,984",30.59%,,,81028500,,,,,,,31.2,48.66666
Qom,Qom,Iran,Asia,,,,,"1,074,036",,"1,275,080,005",30.62%,,,81028500,,,,,,,34.6,50.9
Kermanshah,Kermanshah,Iran,Asia,,,,,"851,405",,"1,276,154,041",30.65%,,,81028500,,,,,,,34.3,47.05
Orumieh,West Azerbaijan,Iran,Asia,,,,,"667,499",,"1,277,005,446",30.67%,,,81028500,,,,,,,37.5,45.06
Rasht,Gilan,Iran,Asia,,,,,"639,951",,"1,277,672,945",30.68%,,,81028500,,,,,,,37.25,49.55
Zahedan,Sistan and Baluchestan,Iran,Asia,,,,,"560,725",,"1,278,312,896",30.70%,,,81028500,,,,,,,29.5,60.85
Kerman,Kerman,Iran,Asia,,,,,"534,441",,"1,278,873,621",30.71%,,,81028500,,,,,,,30.3,57.1
Arak,Markazi,Iran,Asia,,,,,"526,182",,"1,279,408,062",30.72%,,,81028500,,,,,,,34.1,49.7
Hamedan,Hamadan,Iran,Asia,,,,,"525,794",,"1,279,934,244",30.74%,,,81028500,,,,,,,34.8,48.5
Yazd,Yazd,Iran,Asia,,,,,"432,194",,"1,280,460,038",30.75%,,,81028500,,,,,,,31.9,54.4
Basra,Basra,Iraq,Asia,,,,,1225793,,"1,280,892,232",30.76%,,,38274618,,,,,,,30.5,47.8
Baghdad,Baghdad,Iraq,Asia,,,,,"1,211,934",,"1,282,118,025",30.79%,,,38274618,,,,,,,33.33333,44.4
Mosul,,Iraq,Asia,,,,,"1,000,000",,"1,283,329,959",30.82%,,,38274618,,,,,,,36.34,43.13
Kirkuk,Kirkuk,Iraq,Asia,,,,,"938,336",,"1,284,329,959",30.84%,,,38274618,,,,,,,35.45,44.2
Najaf,Najaf,Iraq,Asia,,,,,"746,180",,"1,285,268,295",30.86%,,,38274618,,,,,,,32,44.33
Sulaymaniyah,Sulaymaniyah,Iraq,Asia,,,,,"651,173",,"1,286,014,475",30.88%,,,38274618,,,,,,,35.55,45.45
Al Hillah,Babil,Iraq,Asia,,,,,"559,834",,"1,286,665,648",30.90%,,,38274618,,,,,,,32.5,44.5
Amarah,,Iraq,Asia,,,,,"541,034",,"1,287,225,482",30.91%,,,38274618,,,,,,,31.85,47.15
Nasiriyah,,Iraq,Asia,,,,,"537,544",,"1,287,766,516",30.92%,,,38274618,,,,,,,31.05,46.25
Karbala,,Iraq,Asia,,,,,"514,356",,"1,288,304,060",30.94%,,,38274618,,,,,,,32.6,44.06
Kut,,Iraq,Asia,,,,,"436,673",,"1,288,818,416",30.95%,,,38274618,,,,,,,32.5,45.8
Al Diwaniyah,,Iraq,Asia,,,,,"421,571",,"1,289,255,089",30.96%,,,38274618,,,,,,,32,44.9
Ramadi,,Iraq,Asia,,,,,"419,053",,"1,289,676,660",30.97%,,,38274618,,,,,,,33.4,43.3
Fallujah,,Iraq,Asia,,,,,"321,106",,"1,290,095,713",30.98%,,,38274618,,,,,,,33.33,43.8
Tikrit,,Iraq,Asia,,,,,182464,,"1,290,416,819",30.99%,,,38274618,,,,,,,34.6,43.7
Dublin,,Ireland,Europe,,,,,"1,158,000",,"1,290,599,283",30.99%,,,4792500,,,,,,,53.3333,6.33333
Tel Aviv,,Israel,Asia,,,,,"3,785,000",,"1,291,757,283",31.02%,,,8784100,,,,,,,32.06,34.8
Jerusalem,,Israel,Asia,,,,,"1,124,300",,"1,295,542,283",31.11%,,,8784100,,,,,,,31.8,35.2
Haifa,,Israel,Asia,,,,,1050000,,"1,296,666,583",31.14%,,,8784100,,,,,,,32.8,35
Milano,,Italy,Europe,,,,,"5,257,000",,"1,297,716,583",31.16%,,,60504233,,,,,,,45.4,9.2
Roma,,Italy,Europe,,,,,"3,906,000",,"1,302,973,583",31.29%,,,60504233,,,,,,,41.9,12.5
Napoli,,Italy,Europe,,,,,"3,706,000",,"1,306,879,583",31.38%,,,60504233,,,,,,,40.85,14.25
Torino,,Italy,Europe,,,,,"1,521,000",,"1,310,585,583",31.47%,,,60504233,,,,,,,45.1,7.6
Genova,,Italy,Europe,,,,,"855,000",,"1,312,106,583",31.51%,,,60504233,,,,,,,44.4,8.95
Florence,,Italy,Europe,,,,,"821,000",,"1,312,961,583",31.53%,,,60504233,,,,,,,43.8,11.25
Palermo,,Italy,Europe,,,,,"731,000",,"1,313,782,583",31.55%,,,60504233,,,,,,,38.1,13.25
Abidjan,,Ivory Coast,Africa,,,,,"4,860,000",,#REF!,#REF!,,,24294750,,,,,,,5,-4
Amman,,Jordan,Asia,,,,,"4,007,526",,"1,319,373,583",31.68%,,,10029000,,,,,,,31.95,35.95
Almaty,,Kazakhstan,Asia,,,,,"1,703,481",,"1,323,381,109",31.78%,,,18117600,,,,,,,43.26,76.9
Nairobi,,Kenya,Africa,,,,,"3,915,000",,#REF!,#REF!,,,49699862,,,,,,,1,37
Mombasa,,Kenya,Africa,,,,,"1,104,000",,,,,,49699862,,,,,,,-4,40
Kuwait city,,Kuwait,Asia,,,,,"2,400,000",,"1,330,103,590",31.94%,,,4132415,,,,,,,29.4,47.95
Bishkek,,Kyrgyzstan,Asia,,,,,"937,400",,"1,332,503,590",32.00%,,,6140200,,,,,,,42.85,74.6
Vientiane,,Laos,Asia,,,,,"760,000",,"1,333,440,990",32.02%,,,6492400,,,,,,,17.95,102.6
Riga,,Latvia,Europe,,,,,"750,000",,"1,334,200,990",32.04%,,,1932200,,,,,,,57,24.1
Beirut,,Lebanon,Asia,,,,,"2,200,000",,"1,334,950,990",32.06%,,,6082000,,,,,,,33.9,35.5
Tripoli,,Lebanon,Asia,,,,,"227,857",,"1,337,150,990",32.11%,,,,,,,,,,34.4,35.9
Monrovia,,Liberia,Africa,,,,,"1,264,000",,#REF!,#REF!,,,,,,,,,,6,-11
Tripoli,,Libya,Africa,,,,,"1,126,000",,#REF!,#REF!,,,,,,,,,,33,13
Lilongwe,,Malawi,Africa,,,,,"1,077,116",,,,,,,,,,,,,-14,34
Kuala Lumpur,,Malaysia,Asia,,,,,"7,200,000",,"1,340,845,963",32.20%,,,32322000,,,,,,,3.1,101.7
Georgetown,,Malaysia,Asia,,,,,"2,412,616",,"1,350,458,579",32.43%,,,,,,,,,,5.4,100.3
Johor Bahru,,Malaysia,Asia,,,,,"1,800,000",,"1,352,258,579",32.47%,,,,,,,,,,1.5,103.75
Malacca City,Malacca,Malaysia,Asia,,,,,"484,885",,"1,352,743,464",32.48%,,,,,,,,,,2.2,102.25
Kuantan,Pahang,Malaysia,Asia,,,,,"427,515",,"1,353,170,979",32.49%,,,,,,,,,,3.8,103.33333
Bamako,,Mali,Africa,,,,,"2,515,000",,#REF!,#REF!,,,,,,,,,,13,-8
Mexico City,Distrito Federal,Mexico,North America,,,,,"20,137,152",#VALUE!,"20,137,152",#VALUE!,#REF!,#REF!,123675000,,,,,,,19.45,-99.15
Guadalajara,Jalisco,Mexico,North America,,,,,"4,434,252",#VALUE!,"4,434,252",#VALUE!,#REF!,#REF!,123675000,,,,,,,20.67,-103.333
Monterrey,Nuevo Leon,Mexico,North America,,,,,"4,106,054",#VALUE!,"4,106,054",#VALUE!,#REF!,#REF!,123675000,,,,,,,25.6667,-100.3
Puebla,Puebla,Mexico,North America,,,,,"2,728,790",#VALUE!,"2,728,790",#VALUE!,#REF!,#REF!,123675000,,,,,,,19,-97.9
Toluca,Mexico,Mexico,North America,,,,,"1,936,126",#VALUE!,"1,936,126",#VALUE!,#REF!,#REF!,123675000,,,,,,,19.3,-99.65
Tijuana,Baja California,Mexico,North America,,,,,"1,751,302",#VALUE!,"1,751,302",#VALUE!,#REF!,#REF!,123675000,,,,,,,32.5,-117
Léon,Guanajuato,Mexico,North America,,,,,"1,609,717",#VALUE!,"1,609,717",#VALUE!,#REF!,#REF!,123675000,,,,,,,21.1,-101.667
Ciudad Juarez,Chihuahua,Mexico,North America,,,,,"1,495,094",#VALUE!,"1,495,094",#VALUE!,#REF!,#REF!,123675000,,,,,,,31.75,-106.5
Torreon,Coahuila,Mexico,North America,,,,,"1,275,993",#VALUE!,"1,275,993",#VALUE!,#REF!,#REF!,123675000,,,,,,,25.5,-103.45
Santiago de Querétaro,Querétaro,Mexico,North America,,,,,"1,097,028",#VALUE!,"1,097,028",#VALUE!,#REF!,#REF!,123675000,,,,,,,20.6,-100.4
Acapulco de Juárez,Guerrero,Mexico,North America,,,,,"1,021,000",#VALUE!,"1,021,000",#VALUE!,#REF!,#REF!,123675000,,,,,,,16.85,-99.88
Mérida,Yucatán,Mexico,North America,,,,,"973,046",#VALUE!,"973,046",#VALUE!,#REF!,#REF!,123675000,,,,,,,20.95,-89.6
Mexicali,Baja California,Mexico,North America,,,,,"936,145",#VALUE!,"936,145",#VALUE!,#REF!,#REF!,123675000,,,,,,,32.65,-115.45
Aguascalientes,Aguascalientes,Mexico,North America,,,,,"932,298",#VALUE!,"932,298",#VALUE!,#REF!,#REF!,123675000,,,,,,,21.876,-102.296
Cuernavaca,Morelos,Mexico,North America,,,,,"875,598",#VALUE!,"875,598",#VALUE!,#REF!,#REF!,123675000,,,,,,,18.9,-99.24
Culiacán,Sinaloa,Mexico,North America,,,,,"858,638",#VALUE!,"858,638",#VALUE!,#REF!,#REF!,123675000,,,,,,,24.8,-107.2
Tampico,Veracruz,Mexico,North America,,,,,"858,620",#VALUE!,"858,620",#VALUE!,#REF!,#REF!,123675000,,,,,,,22.25,-97.85
Chihuahua,Chihuahua,Mexico,North America,,,,,"851,971",#VALUE!,"851,971",#VALUE!,#REF!,#REF!,123675000,,,,,,,28.65,-106.1
Saltillo,Coahuila,Mexico,North America,,,,,"823,098",#VALUE!,"823,098",#VALUE!,#REF!,#REF!,123675000,,,,,,,25.45,-101
Morelia,Michoacán,Mexico,North America,,,,,"806,822",#VALUE!,"806,822",#VALUE!,#REF!,#REF!,123675000,,,,,,,19.77,-101.18
Veracruz,Veracruz,Mexico,North America,,,,,"801,122",#VALUE!,"801,122",#VALUE!,#REF!,#REF!,123675000,,,,,,,19.2,-96.15
Hermosillo,Sonora,Mexico,North America,,,,,"784,342",#VALUE!,"784,342",#VALUE!,#REF!,#REF!,123675000,,,,,,,29.1,-110.95
Villahermosa,Tabasco,Mexico,North America,,,,,"755,416",#VALUE!,"755,416",#VALUE!,#REF!,#REF!,123675000,,,,,,,18,-92.95
Reynosa,Tamaulipas,Mexico,North America,,,,,"725,793",#VALUE!,"725,793",#VALUE!,#REF!,#REF!,123675000,,,,,,,26.1,-98.26
Cancun,Quintana Roo,Mexico,North America,,,,,"676,238",#VALUE!,"676,238",#VALUE!,#REF!,#REF!,123675000,,,,,,,21.15,-86.85
Xalapa,Veracruz,Mexico,North America,,,,,"666,268",#VALUE!,"666,268",#VALUE!,#REF!,#REF!,123675000,,,,,,,19.5,-96.9
Tuxtla,Chiapas,Mexico,North America,,,,,"640,881",#VALUE!,"640,881",#VALUE!,#REF!,#REF!,123675000,,,,,,,16.75,-93.1
Oaxaca,Oaxaca,Mexico,North America,,,,,"593,522",#VALUE!,"593,522",#VALUE!,#REF!,#REF!,123675000,,,,,,,17.1,-96.75
Victoria de Durango,Durango,Mexico,North America,,,,,"582,267",#VALUE!,"582,267",#VALUE!,#REF!,#REF!,123675000,,,,,,,24,-104.6666
Poza Rica,Veracruz,Mexico,North America,,,,,"513,308",#VALUE!,"513,308",#VALUE!,#REF!,#REF!,123675000,,,,,,,20.5,-97.45
Pachuca,Hidalgo,Mexico,North America,,,,,"512,180",#VALUE!,"512,180",#VALUE!,#REF!,#REF!,123675000,,,,,,,20.1,-98.75
Tlaxcala,Tlaxcala,Mexico,North America,,,,,"499,504",#VALUE!,"499,504",#VALUE!,#REF!,#REF!,123675000,,,,,,,19.4,-98.16
Matamoros,Tamaulipas,Mexico,North America,,,,,"493,308",#VALUE!,"493,308",#VALUE!,#REF!,#REF!,123675000,,,,,,,25.8,-97.5
Cuautla,Morelos,Mexico,North America,,,,,"434,153",#VALUE!,"434,153",#VALUE!,#REF!,#REF!,123675000,,,,,,,18.8,-98.95
Tepic,Nayarit,Mexico,North America,,,,,"429,161",#VALUE!,"429,161",#VALUE!,#REF!,#REF!,123675000,,,,,,,21.5,-104.9
Orizaba,Veracruz,Mexico,North America,,,,,"410,372",#VALUE!,"410,372",#VALUE!,#REF!,#REF!,123675000,,,,,,,18.85,-97.1
Nuevo Laredo,Tamaulipas,Mexico,North America,,,,,"384,018",#VALUE!,"384,018",#VALUE!,#REF!,#REF!,123675000,,,,,,,27.5,-99.5
Minatitlán,Veracruz,Mexico,North America,,,,,"356,020",#VALUE!,"356,020",#VALUE!,#REF!,#REF!,123675000,,,,,,,18,-94.55
Coatzacoalcos,Veracruz,Mexico,North America,,,,,"347,223",#VALUE!,"347,223",#VALUE!,#REF!,#REF!,123675000,,,,,,,18.15,-94.5
Colima,Colima,Mexico,North America,,,,,"333,977",#VALUE!,"333,977",#VALUE!,#REF!,#REF!,123675000,,,,,,,19.15,-103.88
Monclova,Coahuila,Mexico,North America,,,,,"317,314",#VALUE!,"317,314",#VALUE!,#REF!,#REF!,123675000,,,,,,,26.9,-101.45
Córdoba,Veracruz,Mexico,North America,,,,,"315,996",#VALUE!,"315,996",#VALUE!,#REF!,#REF!,123675000,,,,,,,18.9,-96.95
Zacatecas,Zacatecas,Mexico,North America,,,,,"298,143",#VALUE!,"298,143",#VALUE!,#REF!,#REF!,123675000,,,,,,,23.3,-102.7
Tehuacán,Puebla,Mexico,North America,,,,,"296,894",#VALUE!,"296,894",#VALUE!,#REF!,#REF!,123675000,,,,,,,18.5,-97.45
Campeche,Campeche,Mexico,North America,,,,,"259,000",#VALUE!,"259,000",#VALUE!,#REF!,#REF!,123675000,,,,,,,18.8,-90.4
Zamora,Michoacán,Mexico,North America,,,,,"249,805",#VALUE!,"249,805",#VALUE!,#REF!,#REF!,123675000,,,,,,,20,-102.3
Tulancingo,Hidalgo,Mexico,North America,,,,,"239,575",#VALUE!,"239,575",#VALUE!,#REF!,#REF!,123675000,,,,,,,20.1,-98.35
Tula,Hildago,Mexico,North America,,,,,"205,848",#VALUE!,"205,848",#VALUE!,#REF!,#REF!,123675000,,,,,,,20.05,-99.35
Guaymas,Sonora,Mexico,North America,,,,,"203,442",#VALUE!,"203,442",#VALUE!,#REF!,#REF!,123675000,,,,,,,27.9,-110.9
San Francisco del Rincón,Guanajuato,Mexico,North America,,,,,"182,330",#VALUE!,"182,330",#VALUE!,#REF!,#REF!,123675000,,,,,,,21,-101.85
Piedras Negras,Coahuila,Mexico,North America,,,,,"180,701",#VALUE!,"180,701",#VALUE!,#REF!,#REF!,123675000,,,,,,,28.7,-100.5
Tehuantepec,Oaxaca,Mexico,North America,,,,,"161,343",#VALUE!,"161,343",#VALUE!,#REF!,#REF!,123675000,,,,,,,16.333,-95.25
Ocotlán,Jalisco,Mexico,North America,,,,,"141,365",#VALUE!,"141,365",#VALUE!,#REF!,#REF!,123675000,,,,,,,,
San Luis Potosí,San Luis Potosí,Mexico,North America,,,,,"135,423",#VALUE!,"135,423",#VALUE!,#REF!,#REF!,123675000,,,,,,,,
Rioverde,San Luis Potosí,Mexico,North America,,,,,"126,997",#VALUE!,"126,997",#VALUE!,#REF!,#REF!,123675000,,,,,,,,
Acayucan,Veracruz,Mexico,North America,,,,,"112,999",#VALUE!,"112,999",#VALUE!,#REF!,#REF!,123675000,,,,,,,,
Ulaanbaatar,,Mongolia,Asia,,,,,"1,372,000",,"1,419,560,971",34.09%,,,,,,,,,,47.9,106.9
Casablanca,,Morocco,Africa,,,,,"3,515,000",,#REF!,#REF!,,,,,,,,,,34,-8
Rabat,,Morocco,Africa,,,,,"1,967,000",,#REF!,#REF!,,,,,,,,,,34,-7
Fès,,Morocco,Africa,,,,,"1,172,000",,#REF!,#REF!,,,,,,,,,,34,-5
Marrakech,,Morocco,Africa,,,,,"1,134,000",,#REF!,#REF!,,,,,,,,,,32,-8
Maputo,,Mozambique,Africa,,,,,"1,187,000",,,,,,,,,,,,,-26,33
Kathmandu,Bagmati Zone,Nepal,Asia,,,,,"1,003,285",,"1,429,907,971",34.34%,,,,,,,,,,27.7,85.3
Rotterdam-The Hague,,Netherlands,Europe,,,,,"2,660,000",,"1,430,911,256",34.36%,,,,,,,,,,52.1,4.4
Amsterdam,,Netherlands,Europe,,,,,"1,624,000",,"1,433,571,256",34.43%,,,,,,,,,,52.3333,4.9
Managua,Managua,Nicaragua,North America,,,,,"1,337,709",,"1,337,709",,,,,,,,,,,12.15,-86.25
Leon,Leon,Nicaragua,North America,,,,,"389,600",,"389,600",,,,,,,,,,,12.45,-86.9
Masaya,Masaya,Nicaragua,North America,,,,,"139,701",,"139,701",,,,,,,,,,,,
Niamey,,Niger,Africa,,,,,"1,090,000",,#REF!,#REF!,,,,,,,,,,14,2
Lagos,,Nigeria,Africa,,,,,"13,123,000",,#REF!,#REF!,,,193392500,,,,,,,6,3
Kano,,Nigeria,Africa,,,,,"3,587,000",,#REF!,#REF!,,,193392500,,,,,,,12,9
Ibadan,,Nigeria,Africa,,,,,"3,160,000",,#REF!,#REF!,,,193392500,,,,,,,7,4
Abuja,,Nigeria,Africa,,,,,"2,440,000",,#REF!,#REF!,,,193392500,,,,,,,9,8
Port Harcourt,,Nigeria,Africa,,,,,"2,343,000",,#REF!,#REF!,,,193392500,,,,,,,5,7
Benin City,,Nigeria,Africa,,,,,"1,496,000",,#REF!,#REF!,,,193392500,,,,,,,6,6
Onitsha,,Nigeria,Africa,,,,,"1,109,000",,#REF!,#REF!,,,193392500,,,,,,,6,7
Kaduna,,Nigeria,Africa,,,,,"1,048,000",,#REF!,#REF!,,,193392500,,,,,,,11,7
Pyongyang,,North Korea,Asia,,,,,"3,255,288",,"1,466,458,266",35.22%,,,,,,,,,,39,125.75
Hamhung,,North Korea,Asia,,,,,"768,551",,"1,469,713,554",35.29%,,,,,,,,,,39.9,127.5
Oslo,,Norway,Europe,,,,,"1,717,900",,,,,,,,,,,,,,
Muscat,,Oman,Asia,,,,,"1,560,000",,"1,472,200,005",35.35%,,,,,,,,,,23.6,58.6
Karachi,Sindh,Pakistan,Asia,,,,,"24,300,000",,"1,473,760,005",35.39%,,,209860000,,,,,,,24.9,67
Lahore,Punjab,Pakistan,Asia,,,,,"10,052,000",,"1,498,060,005",35.97%,,,209860000,,,,,,,31.5,74.3
Islamabad,Islamabad,Pakistan,Asia,,,,,"4,700,000",,"1,508,112,005",36.22%,,,209860000,,,,,,,33.75,73.1
Faisalabad,Punjab,Pakistan,Asia,,,,,"4,075,000",,"1,512,812,005",36.33%,,,209860000,,,,,,,31.5,73.1
Hyderabad,Sindh,Pakistan,Asia,,,,,"3,490,000",,#REF!,#REF!,,,209860000,,,,,,,25.4,68.35
Multan,Punjab,Pakistan,Asia,,,,,"3,100,000",,"1,520,377,005",36.51%,,,209860000,,,,,,,30.1,71.5
