CSA,CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,NPOPCHG2010,NPOPCHG2011,NPOPCHG2012,NPOPCHG2013,NPOPCHG2014,NPOPCHG2015,NPOPCHG2016,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016
104,24020,,36113,"Warren County, NY",County or equivalent,65707,65700,65678,65694,65418,65145,64882,64544,64567,-22,16,-276,-273,-263,-338,23,154,617,610,597,566,581,563,185,636,661,633,699,675,657,-31,-19,-51,-36,-133,-94,-94,6,26,30,30,31,35,33,6,52,-255,-315,-119,-255,87,12,78,-225,-285,-88,-220,120,-3,-43,0,48,-42,-24,-3
104,24020,,36115,"Washington County, NY",County or equivalent,63216,63242,63321,63112,63066,62777,62442,62238,61800,79,-209,-46,-289,-335,-204,-438,130,638,658,624,584,577,560,114,625,603,615,576,641,664,16,13,55,9,8,-64,-104,1,20,18,18,25,26,26,63,-235,-117,-255,-340,-163,-368,64,-215,-99,-237,-315,-137,-342,-1,-7,-2,-61,-28,-3,8
104,24100,,,"Gloversville, NY",Micropolitan Statistical Area,55531,55524,55468,55264,55033,54521,54145,53960,53828,-56,-204,-231,-512,-376,-185,-132,137,558,556,537,524,530,515,167,601,623,657,574,572,580,-30,-43,-67,-120,-50,-42,-65,3,26,30,22,30,32,32,-28,-222,-193,-413,-332,-121,-54,-25,-196,-163,-391,-302,-89,-22,-1,35,-1,-1,-24,-54,-45
104,24100,,36035,"Fulton County, NY",County or equivalent,55531,55524,55468,55264,55033,54521,54145,53960,53828,-56,-204,-231,-512,-376,-185,-132,137,558,556,537,524,530,515,167,601,623,657,574,572,580,-30,-43,-67,-120,-50,-42,-65,3,26,30,22,30,32,32,-28,-222,-193,-413,-332,-121,-54,-25,-196,-163,-391,-302,-89,-22,-1,35,-1,-1,-24,-54,-45
104,26460,,,"Hudson, NY",Micropolitan Statistical Area,63096,63091,63017,62626,62539,62269,62013,61491,60989,-74,-391,-87,-270,-256,-522,-502,153,573,534,561,512,475,465,139,700,644,668,673,638,656,14,-127,-110,-107,-161,-163,-191,12,63,55,54,67,68,68,-87,-323,-24,-253,-124,-404,-340,-75,-260,31,-199,-57,-336,-272,-13,-4,-8,36,-38,-23,-39
104,26460,,36021,"Columbia County, NY",County or equivalent,63096,63091,63017,62626,62539,62269,62013,61491,60989,-74,-391,-87,-270,-256,-522,-502,153,573,534,561,512,475,465,139,700,644,668,673,638,656,14,-127,-110,-107,-161,-163,-191,12,63,55,54,67,68,68,-87,-323,-24,-253,-124,-404,-340,-75,-260,31,-199,-57,-336,-272,-13,-4,-8,36,-38,-23,-39
106,,,,"Albuquerque-Santa Fe-Las Vegas, NM",Combined Statistical Area,1146049,1146054,1149141,1157526,1161683,1163675,1164018,1165377,1171991,3087,8385,4157,1992,343,1359,6614,3490,14181,13863,13578,13228,12869,12870,1810,8752,8700,8995,9181,9779,9849,1680,5429,5163,4583,4047,3090,3021,350,1245,1515,1207,1448,1600,1499,1014,1946,-2449,-3831,-5079,-3641,1959,1364,3191,-934,-2624,-3631,-2041,3458,43,-235,-72,33,-73,310,135
106,10740,,,"Albuquerque, NM",Metropolitan Statistical Area,887077,887080,889639,896818,900781,902911,903658,905174,909906,2559,7179,3963,2130,747,1516,4732,2759,11171,11025,10727,10469,10279,10272,1417,6716,6616,6826,7018,7546,7602,1342,4455,4409,3901,3451,2733,2670,230,792,1173,881,1049,1165,1065,946,2133,-1548,-2709,-3612,-2608,963,1176,2925,-375,-1828,-2563,-1443,2028,41,-201,-71,57,-141,226,34
106,10740,,35001,"Bernalillo County, NM",County or equivalent,662564,662547,664109,669295,672685,674460,674829,674959,676953,1562,5186,3390,1775,369,130,1994,2132,8436,8472,8269,8083,7831,7838,1156,5042,4975,5092,5229,5669,5755,976,3394,3497,3177,2854,2162,2083,204,706,1088,836,976,1084,987,369,1363,-1140,-2224,-3217,-3306,-948,573,2069,-52,-1388,-2241,-2222,39,13,-277,-55,-14,-244,190,-128
106,10740,,35043,"Sandoval County, NM",County or equivalent,131561,131578,132370,134246,135383,136482,137540,139157,142025,792,1876,1137,1099,1058,1617,2868,370,1599,1473,1446,1444,1453,1469,160,950,889,991,979,1080,1051,210,649,584,455,465,373,418,12,50,37,12,19,23,21,538,1060,544,588,465,1165,2263,550,1110,581,600,484,1188,2284,32,117,-28,44,109,56,166
106,10740,,35057,"Torrance County, NM",County or equivalent,16383,16381,16379,16400,16074,15681,15514,15422,15302,-2,21,-326,-393,-167,-92,-120,41,173,172,141,134,157,140,12,141,163,145,165,143,138,29,32,9,-4,-31,14,2,7,20,21,10,17,21,22,-32,-27,-366,-407,-146,-123,-158,-25,-7,-345,-397,-129,-102,-136,-6,-4,10,8,-7,-4,14
106,10740,,35061,"Valencia County, NM",County or equivalent,76569,76574,76781,76877,76639,76288,75775,75636,75626,207,96,-238,-351,-513,-139,-10,216,963,908,871,808,838,825,89,583,589,598,645,654,658,127,380,319,273,163,184,167,7,16,27,23,37,37,35,71,-263,-586,-666,-714,-344,-194,78,-247,-559,-643,-677,-307,-159,2,-37,2,19,1,-16,-18
106,21580,,,"Espa�ola, NM",Micropolitan Statistical Area,40246,40244,40310,40313,40254,40058,39742,39526,40040,66,3,-59,-196,-316,-216,514,157,591,578,595,544,530,506,75,354,409,367,425,410,443,82,237,169,228,119,120,63,8,15,23,39,47,49,49,-21,-233,-254,-347,-469,-372,382,-13,-218,-231,-308,-422,-323,431,-3,-16,3,-116,-13,-13,20
106,21580,,35039,"Rio Arriba County, NM",County or equivalent,40246,40244,40310,40313,40254,40058,39742,39526,40040,66,3,-59,-196,-316,-216,514,157,591,578,595,544,530,506,75,354,409,367,425,410,443,82,237,169,228,119,120,63,8,15,23,39,47,49,49,-21,-233,-254,-347,-469,-372,382,-13,-218,-231,-308,-422,-323,431,-3,-16,3,-116,-13,-13,20
106,24380,,,"Grants, NM",Micropolitan Statistical Area,27213,27215,27314,27508,27316,27439,27303,27322,27487,99,194,-192,123,-136,19,165,104,425,372,421,415,335,365,31,262,227,272,269,273,282,73,163,145,149,146,62,83,5,8,15,23,28,27,27,20,11,-360,-54,-311,-68,71,25,19,-345,-31,-283,-41,98,1,12,8,5,1,-2,-16
106,24380,,35006,"Cibola County, NM",County or equivalent,27213,27215,27314,27508,27316,27439,27303,27322,27487,99,194,-192,123,-136,19,165,104,425,372,421,415,335,365,31,262,227,272,269,273,282,73,163,145,149,146,62,83,5,8,15,23,28,27,27,20,11,-360,-54,-311,-68,71,25,19,-345,-31,-283,-41,98,1,12,8,5,1,-2,-16
106,29780,,,"Las Vegas, NM",Micropolitan Statistical Area,29393,29393,29401,29335,29026,28696,28318,27951,27760,8,-66,-309,-330,-378,-367,-191,92,319,335,351,304,278,275,33,280,266,278,269,278,278,59,39,69,73,35,0,-3,5,35,59,58,69,71,70,-55,-136,-438,-457,-510,-389,-266,-50,-101,-379,-399,-441,-318,-196,-1,-4,1,-4,28,-49,8
106,29780,,35047,"San Miguel County, NM",County or equivalent,29393,29393,29401,29335,29026,28696,28318,27951,27760,8,-66,-309,-330,-378,-367,-191,92,319,335,351,304,278,275,33,280,266,278,269,278,278,59,39,69,73,35,0,-3,5,35,59,58,69,71,70,-55,-136,-438,-457,-510,-389,-266,-50,-101,-379,-399,-441,-318,-196,-1,-4,1,-4,28,-49,8
106,31060,,,"Los Alamos, NM",Micropolitan Statistical Area,17950,17950,18012,18174,18149,17817,17668,17696,18147,62,162,-25,-332,-149,28,451,36,188,168,161,182,155,172,43,110,121,139,112,106,106,-7,78,47,22,70,49,66,11,57,60,62,65,69,69,54,8,-134,-397,-315,-79,319,65,65,-74,-335,-250,-10,388,4,19,2,-19,31,-11,-3
106,31060,,35028,"Los Alamos County, NM",County or equivalent,17950,17950,18012,18174,18149,17817,17668,17696,18147,62,162,-25,-332,-149,28,451,36,188,168,161,182,155,172,43,110,121,139,112,106,106,-7,78,47,22,70,49,66,11,57,60,62,65,69,69,54,8,-134,-397,-315,-79,319,65,65,-74,-335,-250,-10,388,4,19,2,-19,31,-11,-3
106,42140,,,"Santa Fe, NM",Metropolitan Statistical Area,144170,144172,144465,145378,146157,146754,147329,147708,148651,293,913,779,597,575,379,943,342,1487,1385,1323,1314,1292,1280,211,1030,1061,1113,1088,1166,1138,131,457,324,210,226,126,142,91,338,185,144,190,219,219,70,163,285,133,138,-125,490,161,501,470,277,328,94,709,1,-45,-15,110,21,159,92
106,42140,,35049,"Santa Fe County, NM",County or equivalent,144170,144172,144465,145378,146157,146754,147329,147708,148651,293,913,779,597,575,379,943,342,1487,1385,1323,1314,1292,1280,211,1030,1061,1113,1088,1166,1138,131,457,324,210,226,126,142,91,338,185,144,190,219,219,70,163,285,133,138,-125,490,161,501,470,277,328,94,709,1,-45,-15,110,21,159,92
108,,,,"Amarillo-Borger, TX",Combined Statistical Area,274083,274182,274925,277993,279744,280796,282698,283368,284853,743,3068,1751,1052,1902,670,1485,999,4070,4014,4184,4270,4091,4083,648,2390,2421,2606,2546,2638,2558,351,1680,1593,1578,1724,1453,1525,135,653,712,786,890,921,901,244,738,-567,-1392,-734,-1701,-944,379,1391,145,-606,156,-780,-43,13,-3,13,80,22,-3,3
108,11100,,,"Amarillo, TX",Metropolitan Statistical Area,251933,251933,252722,256008,257784,258952,260858,261613,263342,789,3286,1776,1168,1906,755,1729,936,3785,3702,3883,3953,3794,3789,599,2153,2197,2346,2315,2379,2324,337,1632,1505,1537,1638,1415,1465,134,636,697,768,871,901,882,305,1050,-442,-1252,-630,-1574,-627,439,1686,255,-484,241,-673,255,13,-32,16,115,27,13,9
108,11100,,48011,"Armstrong County, TX",County or equivalent,1901,1901,1899,1931,1945,1954,1937,1925,1876,-2,32,14,9,-17,-12,-49,5,18,21,29,18,17,17,2,27,28,36,29,23,27,3,-9,-7,-7,-11,-6,-10,0,5,5,5,5,5,5,-4,34,15,14,-11,-12,-52,-4,39,20,19,-6,-7,-47,-1,2,1,-3,0,1,8
108,11100,,48065,"Carson County, TX",County or equivalent,6182,6182,6164,6268,6109,5981,6015,5972,6057,-18,104,-159,-128,34,-43,85,15,64,58,58,71,53,61,19,67,79,73,58,45,53,-4,-3,-21,-15,13,8,8,0,1,3,2,2,2,2,-15,106,-136,-104,13,-21,75,-15,107,-133,-102,15,-19,77,1,0,-5,-11,6,-32,0
108,11100,,48359,"Oldham County, TX",County or equivalent,2052,2052,2051,2078,2044,2091,2076,2059,2076,-1,27,-34,47,-15,-17,17,5,15,20,20,33,18,22,5,15,13,20,14,13,9,0,0,7,0,19,5,13,0,0,1,1,1,1,1,-1,27,-42,45,-36,-16,4,-1,27,-41,46,-35,-15,5,0,0,0,1,1,-7,-1
108,11100,,48375,"Potter County, TX",County or equivalent,121073,121078,121415,122376,122792,122272,122146,121374,120832,337,961,416,-520,-126,-772,-542,531,2040,2038,2127,2101,1967,1966,310,1132,1144,1180,1233,1255,1190,221,908,894,947,868,712,776,101,479,515,563,638,664,648,17,-392,-1006,-2095,-1641,-2208,-1992,118,87,-491,-1532,-1003,-1544,-1344,-2,-34,13,65,9,60,26
108,11100,,48381,"Randall County, TX",County or equivalent,120725,120720,121193,123355,124894,126654,128684,130283,132501,473,2162,1539,1760,2030,1599,2218,380,1648,1565,1649,1730,1739,1723,263,912,933,1037,981,1043,1045,117,736,632,612,749,696,678,33,151,173,197,225,229,226,308,1275,727,888,1045,683,1338,341,1426,900,1085,1270,912,1564,15,0,7,63,11,-9,-24
108,14420,,,"Borger, TX",Micropolitan Statistical Area,22150,22249,22203,21985,21960,21844,21840,21755,21511,-46,-218,-25,-116,-4,-85,-244,63,285,312,301,317,297,294,49,237,224,260,231,259,234,14,48,88,41,86,38,60,1,17,15,18,19,20,19,-61,-312,-125,-140,-104,-127,-317,-60,-295,-110,-122,-85,-107,-298,0,29,-3,-35,-5,-16,-6
108,14420,,48233,"Hutchinson County, TX",County or equivalent,22150,22249,22203,21985,21960,21844,21840,21755,21511,-46,-218,-25,-116,-4,-85,-244,63,285,312,301,317,297,294,49,237,224,260,231,259,234,14,48,88,41,86,38,60,1,17,15,18,19,20,19,-61,-312,-125,-140,-104,-127,-317,-60,-295,-110,-122,-85,-107,-298,0,29,-3,-35,-5,-16,-6
118,,,,"Appleton-Oshkosh-Neenah, WI",Combined Statistical Area,392660,392660,392998,395148,397433,399453,401226,402621,403965,338,2150,2285,2020,1773,1395,1344,1251,4820,4766,4711,4592,4718,4655,732,2980,2972,2983,3061,3151,3154,519,1840,1794,1728,1531,1567,1501,63,237,302,283,334,350,348,-240,111,194,-102,-42,-681,-397,-177,348,496,181,292,-331,-49,-4,-38,-5,111,-50,159,-108
118,11540,,,"Appleton, WI",Metropolitan Statistical Area,225666,225666,225937,227502,228669,229935,231525,233056,234079,271,1565,1167,1266,1590,1531,1023,747,2943,2841,2813,2762,2864,2822,369,1533,1545,1557,1658,1733,1705,378,1410,1296,1256,1104,1131,1117,42,153,188,172,204,215,214,-152,48,-314,-232,333,117,-266,-110,201,-126,-60,537,332,-52,3,-46,-3,70,-51,68,-42
118,11540,,55015,"Calumet County, WI",County or equivalent,48971,48971,49011,49711,49732,49683,49507,49792,49553,40,700,21,-49,-176,285,-239,156,590,600,543,518,534,527,53,279,298,306,386,286,347,103,311,302,237,132,248,180,3,20,17,11,19,22,24,-64,328,-305,-289,-314,66,-463,-61,348,-288,-278,-295,88,-439,-2,41,7,-8,-13,-51,20
118,11540,,55087,"Outagamie County, WI",County or equivalent,176695,176695,176926,177791,178937,180252,182018,183264,184526,231,865,1146,1315,1766,1246,1262,591,2353,2241,2270,2244,2330,2295,316,1254,1247,1251,1272,1447,1358,275,1099,994,1019,972,883,937,39,133,171,161,185,193,190,-88,-280,-9,57,647,51,197,-49,-147,162,218,832,244,387,5,-87,-10,78,-38,119,-62
118,36780,,,"Oshkosh-Neenah, WI",Metropolitan Statistical Area,166994,166994,167061,167646,168764,169518,169701,169565,169886,67,585,1118,754,183,-136,321,504,1877,1925,1898,1830,1854,1833,363,1447,1427,1426,1403,1418,1449,141,430,498,472,427,436,384,21,84,114,111,130,135,134,-88,63,508,130,-375,-798,-131,-67,147,622,241,-245,-663,3,-7,8,-2,41,1,91,-66
118,36780,,55139,"Winnebago County, WI",County or equivalent,166994,166994,167061,167646,168764,169518,169701,169565,169886,67,585,1118,754,183,-136,321,504,1877,1925,1898,1830,1854,1833,363,1447,1427,1426,1403,1418,1449,141,430,498,472,427,436,384,21,84,114,111,130,135,134,-88,63,508,130,-375,-798,-131,-67,147,622,241,-245,-663,3,-7,8,-2,41,1,91,-66
120,,,,"Asheville-Brevard, NC",Combined Statistical Area,457948,457943,458527,461202,464708,469847,474237,479340,485801,584,2675,3506,5139,4390,5103,6461,1130,4630,4652,4670,4641,4865,4795,1216,4933,4778,5166,5092,5397,5460,-86,-303,-126,-496,-451,-532,-665,92,298,138,155,214,237,232,570,2629,3500,5208,4343,4880,6696,662,2927,3638,5363,4557,5117,6928,8,51,-6,272,284,518,198
120,11700,,,"Asheville, NC",Metropolitan Statistical Area,424858,424853,425461,428403,431888,437020,441258,446138,452319,608,2942,3485,5132,4238,4880,6181,1071,4350,4396,4436,4349,4572,4510,1133,4517,4410,4742,4704,5023,5077,-62,-167,-14,-306,-355,-451,-567,87,289,130,149,208,230,226,568,2743,3374,5017,4095,4614,6299,655,3032,3504,5166,4303,4844,6525,15,77,-5,272,290,487,223
120,11700,,37021,"Buncombe County, NC",County or equivalent,238318,238352,238823,241387,244188,247480,249997,252808,256088,471,2564,2801,3292,2517,2811,3280,610,2564,2555,2652,2588,2635,2614,592,2364,2273,2449,2445,2568,2643,18,200,282,203,143,67,-29,58,228,109,119,151,167,162,377,2036,2398,2800,2020,2314,3009,435,2264,2507,2919,2171,2481,3171,18,100,12,170,203,263,138
120,11700,,37087,"Haywood County, NC",County or equivalent,59036,59032,58954,58714,58796,59131,59376,59899,60682,-78,-240,82,335,245,523,783,131,530,580,552,539,586,583,193,653,701,718,714,773,757,-62,-123,-121,-166,-175,-187,-174,0,-3,1,-4,-1,2,2,-16,-97,209,460,417,639,941,-16,-100,210,456,416,641,943,0,-17,-7,45,4,69,14
120,11700,,37089,"Henderson County, NC",County or equivalent,106740,106692,106903,107474,108014,109269,110707,112327,114209,211,571,540,1255,1438,1620,1882,291,1078,1078,1022,1044,1133,1103,280,1270,1249,1337,1319,1446,1448,11,-192,-171,-315,-275,-313,-345,25,55,12,26,48,49,50,178,716,706,1497,1576,1746,2090,203,771,718,1523,1624,1795,2140,-3,-8,-7,47,89,138,87
120,11700,,37115,"Madison County, NC",County or equivalent,20764,20777,20781,20828,20890,21140,21178,21104,21340,4,47,62,250,38,-74,236,39,178,183,210,178,218,210,68,230,187,238,226,236,229,-29,-52,-4,-28,-48,-18,-19,4,9,8,8,10,12,12,29,88,61,260,82,-85,259,33,97,69,268,92,-73,271,0,2,-3,10,-6,17,-16
120,14820,,,"Brevard, NC",Micropolitan Statistical Area,33090,33090,33066,32799,32820,32827,32979,33202,33482,-24,-267,21,7,152,223,280,59,280,256,234,292,293,285,83,416,368,424,388,374,383,-24,-136,-112,-190,-96,-81,-98,5,9,8,6,6,7,6,2,-114,126,191,248,266,397,7,-105,134,197,254,273,403,-7,-26,-1,0,-6,31,-25
120,14820,,37175,"Transylvania County, NC",County or equivalent,33090,33090,33066,32799,32820,32827,32979,33202,33482,-24,-267,21,7,152,223,280,59,280,256,234,292,293,285,83,416,368,424,388,374,383,-24,-136,-112,-190,-96,-81,-98,5,9,8,6,6,7,6,2,-114,126,191,248,266,397,7,-105,134,197,254,273,403,-7,-26,-1,0,-6,31,-25
122,,,,"Atlanta--Athens-Clarke County--Sandy Springs, GA",Combined Statistical Area,5910296,5910293,5929034,6003056,6085729,6155432,6248914,6351934,6451262,18741,74022,82673,69703,93482,103020,99328,20155,82101,80579,78952,80322,81798,81995,8866,36930,36264,38850,39328,42345,43808,11289,45171,44315,40102,40994,39453,38187,4150,17178,16359,15895,18090,18981,18678,2993,9248,21864,13380,33536,44516,41827,7143,26426,38223,29275,51626,63497,60505,309,2425,135,326,862,70,636
122,12020,,,"Athens-Clarke County, GA",Metropolitan Statistical Area,192541,192541,193450,194634,196370,197793,198787,202822,205290,909,1184,1736,1423,994,4035,2468,590,2248,2219,2209,2200,2206,2226,349,1259,1233,1310,1386,1380,1390,241,989,986,899,814,826,836,103,424,412,421,478,496,493,534,-287,311,80,-387,2659,1147,637,137,723,501,91,3155,1640,31,58,27,23,89,54,-8
122,12020,,13059,"Clarke County, GA",County or equivalent,116714,116707,117471,118450,120174,121040,120634,123629,124707,764,979,1724,866,-406,2995,1078,363,1457,1436,1399,1371,1331,1387,198,635,631,687,739,729,771,165,822,805,712,632,602,616,94,360,357,364,415,434,431,463,-196,539,-243,-1484,1883,28,557,164,896,121,-1069,2317,459,42,-7,23,33,31,76,3
122,12020,,13195,"Madison County, GA",County or equivalent,28120,28120,28143,28118,28050,28173,28366,28396,28824,23,-25,-68,123,193,30,428,89,325,318,330,343,364,346,42,285,284,290,309,278,251,47,40,34,40,34,86,95,2,24,20,25,28,26,26,-21,-103,-122,67,131,-75,314,-19,-79,-102,92,159,-49,340,-5,14,0,-9,0,-7,-7
122,12020,,13219,"Oconee County, GA",County or equivalent,32808,32815,32929,33273,33526,34047,35073,35872,36838,114,344,253,521,1026,799,966,98,308,315,340,315,342,333,70,212,195,222,195,232,213,28,96,120,118,120,110,120,6,29,15,12,13,13,13,84,200,119,401,852,682,827,90,229,134,413,865,695,840,-4,19,-1,-10,41,-6,6
122,12020,,13221,"Oglethorpe County, GA",County or equivalent,14899,14899,14907,14793,14620,14533,14714,14925,14921,8,-114,-173,-87,181,211,-4,40,158,150,140,171,169,160,39,127,123,111,143,141,155,1,31,27,29,28,28,5,1,11,20,20,22,23,23,8,-188,-225,-145,114,169,-22,9,-177,-205,-125,136,192,1,-2,32,5,9,17,-9,-10
122,12060,,,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,5286728,5286725,5303929,5373558,5452145,5517230,5605765,5699050,5789700,17204,69629,78587,65085,88535,93285,90650,18136,73833,72545,71142,72490,73525,73772,7717,32048,31381,33675,34079,36893,38161,10419,41785,41164,37467,38411,36632,35611,3916,16340,15655,15178,17243,18095,17796,2580,9567,21617,12039,32294,38624,36645,6496,25907,37272,27217,49537,56719,54441,289,1937,151,401,587,-66,598
122,12060,,13013,"Barrow County, GA",County or equivalent,69367,69367,69694,69860,70161,71325,72982,75107,77126,327,166,301,1164,1657,2125,2019,264,1073,1077,1062,989,1048,1074,139,515,494,509,563,546,588,125,558,583,553,426,502,486,20,87,34,22,36,44,44,172,-492,-309,595,1118,1595,1411,192,-405,-275,617,1154,1639,1455,10,13,-7,-6,77,-16,78
122,12060,,13015,"Bartow County, GA",County or equivalent,100157,100155,100135,100297,100488,101206,101675,102533,103807,-20,162,191,718,469,858,1274,351,1280,1240,1275,1315,1336,1298,234,833,758,840,845,880,882,117,447,482,435,470,456,416,17,88,33,43,50,57,58,-157,-390,-322,193,-38,303,837,-140,-302,-289,236,12,360,895,3,17,-2,47,-13,42,-37
